2024 Clinical Diagnostic Laboratory Fee Schedule ,,,,,,,,
"CPT codes, descriptions and other data only are copyright 2024 American Medical Association. All rights reserved. CPT is a registered trademark of the American Medical Association.",,,,,,,,
"The Department of Health and Human Services is planning for the federal Public Health Emergency for COVID-19 (PHE), declared under Section 319 of the Public Health Service Act, to expire at the end of the day on May 11, 2023.  Because of the termination of the PHE, HCPCS codes G2023, G2024, U0003, U0004, and U0005 will no longer be payable for dates of service on or after May 12, 2023, and the HCPCS codes will be terminated.",,,,,,,,
,,,,,,,,
YEAR,HCPCS,MOD,EFF_DATE,INDICATOR,RATE,SHORTDESC,LONGDESC,EXTENDED LONGDESC
2024,0001U,,20240101,N,00720.00,Rbc dna hea 35 ag 11 bld grp,Red blood cell typing,"Red blood cell antigen typing, dna, human erythrocyte antigen gene analysis of 35 antigens from 11 blood groups, utilizing whole blood, common rbc alleles reported"
2024,0002M,,20240101,N,00503.40,Liver dis 10 assays w/ash,"Molecular pathology test for liver disease, including alcohol liver disease","Liver disease, ten biochemical assays (alt, a2-macroglobulin, apolipoprotein a-1, total bilirubin, ggt, haptoglobin, ast, glucose, total cholesterol and triglycerides) utilizing serum, prognostic algorithm reported as quantitative scores for fibrosis, steatosis and alcoholic steatohepatitis (ash)"
2024,0002U,,20240101,N,00025.00,Onc clrct 3 ur metab alg plp,Measurement of substances in urine to predict likelihood of polyps in large,"Oncology (colorectal), quantitative assessment of three urine metabolites (ascorbic acid, succinic acid and carnitine) by liquid chromatography with tandem mass spectrometry (lc-ms/ms) using multiple reaction monitoring acquisition, algorithm reported as likelihood of adenomatous polyps"
2024,0003M,,20240101,N,00503.40,Liver dis 10 assays w/nash,"Molecular pathology test for liver disease, including non-alcohol liver disease","Liver disease, ten biochemical assays (alt, a2-macroglobulin, apolipoprotein a-1, total bilirubin, ggt, haptoglobin, ast, glucose, total cholesterol and triglycerides) utilizing serum, prognostic algorithm reported as quantitative scores for fibrosis, steatosis and nonalcoholic steatohepatitis (nash)"
2024,0003U,,20240101,N,00950.00,Onc ovar 5 prtn ser alg scor,Measurement of proteins associated with ovarian cancer in serum,"Oncology (ovarian) biochemical assays of five proteins (apolipoprotein a-1, ca 125 ii, follicle stimulating hormone, human epididymis protein 4, transferrin), utilizing serum, algorithm reported as a likelihood score"
2024,0004M,,20240101,N,00079.00,Scoliosis dna alys,Molecular pathology test for genetic analysis of curved spine deformity,"Scoliosis, dna analysis of 53 single nucleotide polymorphisms (snps), using saliva, prognostic algorithm reported as a risk score"
2024,0005U,,20240101,N,00760.00,Onco prst8 3 gene ur alg,Test for detecting genes associated with prostate cancer in urine,"Oncology (prostate) gene expression profile by real-time rt-pcr of 3 genes (erg, pca3, and spdef), urine, algorithm reported as risk score"
2024,0006M,,20240101,N,00150.00,Onc hep gene risk classifier,Molecular pathology test for genetic analysis of liver tumor (HeproDX),"Oncology (hepatic), mrna expression levels of 161 genes, utilizing fresh hepatocellular carcinoma tumor tissue, with alpha-fetoprotein level, algorithm reported as a risk classifier"
2024,0007M,,20240101,N,00375.00,Onc gastro 51 gene nomogram,Molecular pathology test for genetic analysis of tumors in the digestive system,"Oncology (gastrointestinal neuroendocrine tumors), real-time pcr expression analysis of 51 genes, utilizing whole peripheral blood, algorithm reported as a nomogram of tumor disease index"
2024,0007U,,20240101,N,00114.43,Rx test prsmv ur w/def conf,Testing for presence of drug in urine,"Drug test(s), presumptive, with definitive confirmation of positive results, any number of drug classes, urine, includes specimen verification including dna authentication in comparison to buccal dna, per date of service"
2024,0008U,,20240101,N,00597.91,Hpylori detcj abx rstnc dna,Test for detecting Helicobacter pylori genes associated with antibiotic,"Helicobacter pylori detection and antibiotic resistance, dna, 16s and 23s rrna, gyra, pbp1, rdxa and rpob, next generation sequencing, formalin-fixed paraffin embedded or fresh tissue or fecal sample, predictive, reported as positive or negative for resistance to clarithromycin, fluoroquinolones, metronidazole, amoxicillin, tetracycline and rifabutin"
